date,open,high,low,close,volume
2020-11-17,15.39,17.93,15.3,16.34,60532936
2020-11-18,16.46,16.99,15.95,16.19,31517441
2020-11-19,16.0,18.2,15.99,18.11,35794059
2020-11-20,18.4,18.42,17.0,17.13,38015407
2020-11-23,17.2355,17.25,16.5,16.77,20717971
2020-11-24,16.735,17.0,16.29,16.9,23106162
2020-11-25,16.68,17.31,16.55,17.07,15353777
2020-11-27,17.1,17.37,16.9,17.05,11024657
2020-11-30,17.03,17.16,16.8,16.82,21166326
2020-12-01,16.88,17.15,16.74,17.01,15395746
2020-12-02,16.9342,17.27,16.84,17.125,22173216
2020-12-03,17.1358,17.47,16.94,17.37,16848384
2020-12-04,17.33,17.7,17.25,17.6,15946922
2020-12-07,17.61,18.0,17.52,17.57,10008659
2020-12-08,17.41,17.93,17.405,17.84,9303086
2020-12-09,17.85,17.975,17.5,17.52,12701883
2020-12-10,17.32,17.85,17.3,17.69,9422490
2020-12-11,17.5,17.75,17.08,17.34,15842674
2020-12-14,17.34,17.53,17.08,17.33,16694055
2020-12-15,17.4,17.87,17.2,17.73,13189112
2020-12-16,17.62,18.27,17.56,17.86,17203789
2020-12-17,17.75,17.89,17.55,17.72,14484983
2020-12-18,17.7,17.8,17.515,17.75,18226276
2020-12-21,17.4,17.55,17.25,17.39,14799820
2020-12-22,17.43,17.84,17.27,17.74,11415468
2020-12-23,17.7467,18.04,17.66,17.88,6303385
2020-12-24,17.8,17.92,17.67,17.77,1946680
2020-12-28,17.8561,17.88,17.62,17.74,4933935
2020-12-29,17.6607,17.8,17.52,17.75,4811911
2020-12-30,17.61,18.18,17.58,18.13,10332307
2020-12-31,18.22,18.86,18.03,18.74,14375983
2021-01-04,18.66,18.77,18.21,18.54,12215605
2021-01-05,18.49,18.605,17.81,18.1,12217787
2021-01-06,18.17,18.675,18.1,18.49,8625061
2021-01-07,18.52,18.69,18.36,18.52,7195092
2021-01-08,18.42,18.6,18.03,18.3,6893458
2021-01-11,18.2,18.66,18.12,18.47,6961189
2021-01-12,18.45,18.67,18.2,18.24,7689434
2021-01-13,18.27,18.71,18.2,18.4,9185867
2021-01-14,18.3373,18.355,16.75,17.31,44993158
2021-01-15,17.11,17.2,16.7318,17.05,19765045
